node,usage,platform
sjc15a-rb32-41a,45608960,dash
sjc8d-rc13-35a,45711360,dash
sjc8d-rc15-19a,46182400,dash
sjc8d-rc12-40a,45830144,dash
sjc8d-rc12-15a,46600192,dash
sjc8d-rc14-21a,45654016,dash
sjc8d-rc11-24a,44249088,dash
sjc8d-rc11-12a,44789760,dash
sjc15a-rh25-18a,64225280,dash
sjc8d-rc13-26a,45076480,dash
sjc8d-rc14-19a,44937216,dash
sjc8d-rc14-29a,44609536,dash
sjc15a-rh25-37a,45436928,dash
sjc15a-rc24-3a,44269568,dash
sjc8d-rc11-25a,43708416,dash
sjc8d-rc11-22a,44130304,dash
sjc8d-rc10-41a,45494272,dash
sjc8d-rc15-11a,46305280,dash
sjc8d-rc11-30a,45768704,dash
sjc8d-rc12-16a,45645824,dash
sjc15a-rd27-28a,45539328,dash
sjc15a-rc1-41a,45916160,dash
sjc8d-rc15-3a,45563904,dash
sjc15a-rb32-36a,45760512,dash
sjc8d-rc12-36a,45182976,dash
sjc15a-rh25-34a,46030848,dash
sjc15a-rc32-29a,45846528,dash
sjc8d-rc11-33a,45715456,dash
sjc8d-rc13-30a,44392448,dash
sjc15a-rd27-24a,45867008,dash
sjc8d-rc10-29a,45547520,dash
sjc8d-rc14-2a,44961792,dash
sjc8d-rc10-32a,45719552,dash
sjc8d-rc10-9a,43753472,dash
sjc8d-rc10-36a,44687360,dash
sjc8d-rc12-33a,44826624,dash
sjc8d-rc11-5a,45527040,dash
sjc8d-rc10-15a,44253184,dash
sjc8d-rc12-3a,45740032,dash
sjc15a-rc24-6a,46346240,dash
sjc15a-rc32-34a,44789760,dash
sjc15a-rc24-9a,44871680,dash
sjc8d-rc15-8a,44896256,dash
sjc8d-rc13-33a,46080000,dash
sjc8d-rc12-17a,45678592,dash
sjc8d-rc14-27a,44662784,dash
sjc8d-rc15-27a,45293568,dash
sjc8d-rc13-40a,45563904,dash
sjc8d-rc12-23a,45252608,dash
sjc15a-rd27-14a,43704320,dash
sjc8d-rc11-27a,47579136,dash
sjc8d-rc10-28a,44163072,dash
sjc8d-rc15-5a,45973504,dash
sjc15a-rb32-18a,45793280,dash
sjc8d-rc15-28a,45731840,dash
sjc8d-rc12-10a,46563328,dash
sjc8d-rc14-10a,46317568,dash
sjc8d-rc10-8a,44228608,dash
sjc8d-rc14-24a,46133248,dash
sjc15a-rc24-5a,67465216,dash
sjc8d-rc13-32a,45432832,dash
sjc15a-rc32-27a,45658112,dash
